,features,prediction
0,"[15.550000190734863,28.649999618530273]",1
1,"[14.899999618530273,27.549999237060547]",1
2,"[14.449999809265137,28.350000381469727]",1
3,"[14.149999618530273,28.799999237060547]",1
4,"[13.75,28.049999237060547]",1
5,"[13.350000381469727,28.450000762939453]",1
6,"[13.0,29.149999618530273]",1
7,"[13.449999809265137,27.5]",1
8,"[13.600000381469727,26.5]",1
9,"[12.800000190734863,27.350000381469727]",1
10,"[12.399999618530273,27.850000381469727]",1
11,"[12.300000190734863,28.399999618530273]",1
12,"[12.199999809265137,28.649999618530273]",1
13,"[13.399999618530273,25.100000381469727]",1
14,"[12.949999809265137,25.950000762939453]",1
15,"[12.899999618530273,26.5]",1
16,"[11.850000381469727,27.0]",1
17,"[11.350000381469727,28.0]",1
18,"[11.149999618530273,28.700000762939453]",1
19,"[11.25,27.399999618530273]",1
20,"[10.75,27.700000762939453]",1
21,"[10.5,28.350000381469727]",1
22,"[9.649999618530273,28.450000762939453]",1
23,"[10.25,27.25]",1
24,"[10.75,26.549999237060547]",1
25,"[11.699999809265137,26.350000381469727]",1
26,"[11.600000381469727,25.899999618530273]",1
27,"[11.899999618530273,25.049999237060547]",1
28,"[12.600000381469727,24.049999237060547]",1
29,"[11.899999618530273,24.5]",1
30,"[11.100000381469727,25.200000762939453]",1
31,"[10.550000190734863,25.149999618530273]",1
32,"[10.050000190734863,25.950000762939453]",1
33,"[9.350000381469727,26.600000381469727]",1
34,"[9.300000190734863,27.25]",1
35,"[9.199999809265137,27.799999237060547]",1
36,"[7.5,28.25]",1
37,"[8.550000190734863,27.450000762939453]",1
38,"[8.5,27.049999237060547]",1
39,"[8.050000190734863,27.200000762939453]",1
40,"[7.849999904632568,26.799999237060547]",1
41,"[7.300000190734863,27.399999618530273]",1
42,"[6.800000190734863,26.850000381469727]",1
43,"[7.0,26.5]",1
44,"[7.550000190734863,26.299999237060547]",1
45,"[8.550000190734863,26.299999237060547]",1
46,"[9.0,25.850000381469727]",1
47,"[8.600000381469727,25.649999618530273]",1
48,"[9.399999618530273,25.549999237060547]",1
49,"[8.449999809265137,25.049999237060547]",1
50,"[8.850000381469727,24.600000381469727]",1
51,"[9.649999618530273,24.700000762939453]",1
52,"[10.550000190734863,24.350000381469727]",1
53,"[11.050000190734863,23.899999618530273]",1
54,"[10.550000190734863,23.549999237060547]",1
55,"[9.449999809265137,23.350000381469727]",1
56,"[9.199999809265137,23.899999618530273]",1
57,"[8.350000381469727,23.899999618530273]",1
58,"[7.349999904632568,24.75]",1
59,"[7.400000095367432,25.450000762939453]",1
60,"[6.599999904632568,25.75]",1
61,"[6.099999904632568,26.0]",1
62,"[5.800000190734863,26.950000762939453]",1
63,"[5.650000095367432,25.799999237060547]",1
64,"[5.300000190734863,26.100000381469727]",1
65,"[6.400000095367432,25.399999618530273]",1
66,"[5.400000095367432,25.25]",1
67,"[5.349999904632568,24.700000762939453]",1
68,"[4.800000190734863,25.049999237060547]",1
69,"[4.199999809265137,25.549999237060547]",1
70,"[6.400000095367432,24.799999237060547]",1
71,"[6.550000190734863,24.299999237060547]",1
72,"[7.400000095367432,24.25]",1
73,"[5.449999809265137,24.200000762939453]",1
74,"[4.300000190734863,24.0]",1
75,"[4.0,24.25]",1
76,"[3.3499999046325684,23.299999237060547]",1
77,"[4.849999904632568,23.049999237060547]",1
78,"[4.300000190734863,22.75]",1
